
 FES - Finite Element Solver 
 MATLAB version 3/23/2015 
 v2 mixed brick 8 element is added: 04/25/2015 
 v2 bug how to calculate deformation gradient: 04/21/2015 
 v2 1 point integration is added: 04/20/2015 
 
Element type:      QUAD4 	 Node Number per element:  4 
Total node number:     63 	 Total element number:     40

 

 STEP:     1
Iter:   5 	 r: 3.46e-11 	 N(r): 7.10e-11 	 time: 3.12e+00 

 STEP:    17
Iter:   1 	 r: 4.87e-01 	 N(r): 1.00e+00 	 time: 3.16e+00 
Iter:   2 	 r: 5.68e-01 	 N(r): 1.17e+00 	 time: 3.20e+00 
Iter:   3 	 r: 2.85e-04 	 N(r): 5.86e-04 	 time: 3.24e+00 
Iter:   4 	 r: 2.07e-08 	 N(r): 4.26e-08 	 time: 3.28e+00 
Iter:   5 	 r: 3.66e-11 	 N(r): 7.51e-11 	 time: 3.32e+00 

 STEP:    18
Iter:   1 	 r: 4.86e-01 	 N(r): 1.00e+00 	 time: 3.36e+00 
Iter:   2 	 r: 6.17e-01 	 N(r): 1.27e+00 	 time: 3.40e+00 
Iter:   3 	 r: 3.53e-04 	 N(r): 7.27e-04 	 time: 3.44e+00 
Iter:   4 	 r: 3.31e-08 	 N(r): 6.81e-08 	 time: 3.48e+00 
Iter:   5 	 r: 4.02e-11 	 N(r): 8.28e-11 	 time: 3.52e+00 

 STEP:    19
Iter:   1 	 r: 4.84e-01 	 N(r): 1.00e+00 	 time: 3.56e+00 
Iter:   2 	 r: 6.74e-01 	 N(r): 1.39e+00 	 time: 3.60e+00 
Iter:   3 	 r: 4.44e-04 	 N(r): 9.16e-04 	 time: 3.64e+00 
Iter:   4 	 r: 5.45e-08 	 N(r): 1.13e-07 	 time: 3.68e+00 
Iter:   5 	 r: 3.59e-11 	 N(r): 7.42e-11 	 time: 3.72e+00 

 STEP:    20
Iter:   1 	 r: 4.83e-01 	 N(r): 1.00e+00 	 time: 3.76e+00 
Iter:   2 	 r: 7.40e-01 	 N(r): 1.53e+00 	 time: 3.80e+00 
Iter:   3 	 r: 5.66e-04 	 N(r): 1.17e-03 	 time: 3.84e+00 
Iter:   4 	 r: 9.32e-08 	 N(r): 1.93e-07 	 time: 3.88e+00 
Iter:   5 	 r: 4.36e-11 	 N(r): 9.03e-11 	 time: 3.92e+00 

 STEP:    21
Iter:   1 	 r: 4.80e-01 	 N(r): 1.00e+00 	 time: 3.97e+00 
Iter:   2 	 r: 8.19e-01 	 N(r): 1.70e+00 	 time: 4.01e+00 
Iter:   3 	 r: 7.36e-04 	 N(r): 1.53e-03 	 time: 4.04e+00 
Iter:   4 	 r: 1.66e-07 	 N(r): 3.45e-07 	 time: 4.08e+00 
Iter:   5 	 r: 3.79e-11 	 N(r): 7.89e-11 	 time: 4.12e+00 

 STEP:    22
Iter:   1 	 r: 4.78e-01 	 N(r): 1.00e+00 	 time: 4.17e+00 
Iter:   2 	 r: 9.14e-01 	 N(r): 1.91e+00 	 time: 4.21e+00 
Iter:   3 	 r: 9.76e-04 	 N(r): 2.04e-03 	 time: 4.25e+00 
Iter:   4 	 r: 3.10e-07 	 N(r): 6.48e-07 	 time: 4.29e+00 
Iter:   5 	 r: 3.54e-11 	 N(r): 7.40e-11 	 time: 4.33e+00 

 STEP:    23
Iter:   1 	 r: 4.75e-01 	 N(r): 1.00e+00 	 time: 4.37e+00 
Iter:   2 	 r: 1.03e+00 	 N(r): 2.17e+00 	 time: 4.41e+00 
Iter:   3 	 r: 1.32e-03 	 N(r): 2.79e-03 	 time: 4.45e+00 
Iter:   4 	 r: 6.09e-07 	 N(r): 1.28e-06 	 time: 4.49e+00 
Iter:   5 	 r: 5.17e-11 	 N(r): 1.09e-10 	 time: 4.53e+00 

 STEP:    24
Iter:   1 	 r: 4.71e-01 	 N(r): 1.00e+00 	 time: 4.57e+00 
Iter:   2 	 r: 1.17e+00 	 N(r): 2.49e+00 	 time: 4.61e+00 
Iter:   3 	 r: 1.84e-03 	 N(r): 3.91e-03 	 time: 4.65e+00 
Iter:   4 	 r: 1.27e-06 	 N(r): 2.70e-06 	 time: 4.69e+00 
Iter:   5 	 r: 4.41e-11 	 N(r): 9.37e-11 	 time: 4.73e+00 

 STEP:    25
Iter:   1 	 r: 4.66e-01 	 N(r): 1.00e+00 	 time: 4.77e+00 
Iter:   2 	 r: 1.35e+00 	 N(r): 2.89e+00 	 time: 4.81e+00 
Iter:   3 	 r: 2.63e-03 	 N(r): 5.65e-03 	 time: 4.85e+00 
Iter:   4 	 r: 2.83e-06 	 N(r): 6.08e-06 	 time: 4.89e+00 
Iter:   5 	 r: 4.67e-11 	 N(r): 1.00e-10 	 time: 4.92e+00 

 STEP:    26
Iter:   1 	 r: 4.59e-01 	 N(r): 1.00e+00 	 time: 4.97e+00 
Iter:   2 	 r: 1.57e+00 	 N(r): 3.43e+00 	 time: 5.01e+00 
Iter:   3 	 r: 3.87e-03 	 N(r): 8.43e-03 	 time: 5.05e+00 
Iter:   4 	 r: 6.76e-06 	 N(r): 1.47e-05 	 time: 5.09e+00 
Iter:   5 	 r: 3.29e-11 	 N(r): 7.16e-11 	 time: 5.12e+00 

 STEP:    27
Iter:   1 	 r: 4.51e-01 	 N(r): 1.00e+00 	 time: 5.17e+00 
Iter:   2 	 r: 1.86e+00 	 N(r): 4.13e+00 	 time: 5.21e+00 
Iter:   3 	 r: 5.83e-03 	 N(r): 1.29e-02 	 time: 5.24e+00 
Iter:   4 	 r: 1.71e-05 	 N(r): 3.80e-05 	 time: 5.28e+00 
Iter:   5 	 r: 5.10e-11 	 N(r): 1.13e-10 	 time: 5.32e+00 

 STEP:    28
Iter:   1 	 r: 4.42e-01 	 N(r): 1.00e+00 	 time: 5.36e+00 
Iter:   2 	 r: 2.22e+00 	 N(r): 5.01e+00 	 time: 5.40e+00 
Iter:   3 	 r: 8.85e-03 	 N(r): 2.00e-02 	 time: 5.44e+00 
Iter:   4 	 r: 4.44e-05 	 N(r): 1.00e-04 	 time: 5.48e+00 
Iter:   5 	 r: 4.35e-11 	 N(r): 9.85e-11 	 time: 5.52e+00 

 STEP:    29
Iter:   1 	 r: 4.56e-01 	 N(r): 1.00e+00 	 time: 5.56e+00 
Iter:   2 	 r: 2.60e+00 	 N(r): 5.70e+00 	 time: 5.60e+00 
Iter:   3 	 r: 1.29e-02 	 N(r): 2.84e-02 	 time: 5.64e+00 
Iter:   4 	 r: 1.03e-04 	 N(r): 2.26e-04 	 time: 5.68e+00 
Iter:   5 	 r: 8.86e-11 	 N(r): 1.94e-10 	 time: 5.72e+00 

 STEP:    30
Iter:   1 	 r: 6.99e-01 	 N(r): 1.00e+00 	 time: 5.76e+00 
Iter:   2 	 r: 2.75e+00 	 N(r): 3.93e+00 	 time: 5.80e+00 
Iter:   3 	 r: 1.66e-02 	 N(r): 2.38e-02 	 time: 5.84e+00 
Iter:   4 	 r: 1.45e-04 	 N(r): 2.07e-04 	 time: 5.88e+00 
Iter:   5 	 r: 1.41e-10 	 N(r): 2.01e-10 	 time: 5.92e+00 

 STEP:    31
Iter:   1 	 r: 2.19e+00 	 N(r): 1.00e+00 	 time: 5.96e+00 
Iter:   2 	 r: 1.91e+00 	 N(r): 8.71e-01 	 time: 6.00e+00 
Iter:   3 	 r: 1.56e-02 	 N(r): 7.13e-03 	 time: 6.04e+00 
Iter:   4 	 r: 3.78e-05 	 N(r): 1.72e-05 	 time: 6.08e+00 
Iter:   5 	 r: 3.50e-11 	 N(r): 1.60e-11 	 time: 6.12e+00 

 STEP:    32
Iter:   1 	 r: 6.75e+00 	 N(r): 1.00e+00 	 time: 6.16e+00 
Iter:   2 	 r: 3.52e-01 	 N(r): 5.22e-02 	 time: 6.20e+00 
Iter:   3 	 r: 2.08e-03 	 N(r): 3.08e-04 	 time: 6.24e+00 
Iter:   4 	 r: 2.93e-08 	 N(r): 4.35e-09 	 time: 6.28e+00 
Iter:   5 	 r: 4.13e-11 	 N(r): 6.13e-12 	 time: 6.32e+00 

 STEP:    33
Iter:   1 	 r: 1.05e+01 	 N(r): 1.00e+00 	 time: 6.36e+00 
Iter:   2 	 r: 7.16e-03 	 N(r): 6.83e-04 	 time: 6.40e+00 
Iter:   3 	 r: 2.57e-05 	 N(r): 2.45e-06 	 time: 6.44e+00 
Iter:   4 	 r: 3.68e-11 	 N(r): 3.51e-12 	 time: 6.48e+00 

 STEP:    34
Iter:   1 	 r: 8.66e+00 	 N(r): 1.00e+00 	 time: 6.52e+00 
Iter:   2 	 r: 2.50e-02 	 N(r): 2.89e-03 	 time: 6.56e+00 
Iter:   3 	 r: 5.78e-04 	 N(r): 6.68e-05 	 time: 6.60e+00 
Iter:   4 	 r: 6.90e-11 	 N(r): 7.97e-12 	 time: 6.64e+00 

 STEP:    35
